license_id,license
18,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}"
2,"{'key': 'agpl-3.0', 'name': 'GNU Affero General Public License v3.0', 'spdx_id': 'AGPL-3.0', 'url': 'https://api.github.com/licenses/agpl-3.0', 'node_id': 'MDc6TGljZW5zZTE='}"
23,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}"
5,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}"
0,no_license
31,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}"
3,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}"
25,"{'key': 'mpl-2.0', 'name': 'Mozilla Public License 2.0', 'spdx_id': 'MPL-2.0', 'url': 'https://api.github.com/licenses/mpl-2.0', 'node_id': 'MDc6TGljZW5zZTE0'}"
6,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}"
19,"{'key': 'isc', 'name': 'ISC License', 'spdx_id': 'ISC', 'url': 'https://api.github.com/licenses/isc', 'node_id': 'MDc6TGljZW5zZTEw'}"
33,"{'key': 'unlicense', 'name': 'The Unlicense', 'spdx_id': 'Unlicense', 'url': 'https://api.github.com/licenses/unlicense', 'node_id': 'MDc6TGljZW5zZTE1'}"
17,"{'key': 'gpl-2.0', 'name': 'GNU General Public License v2.0', 'spdx_id': 'GPL-2.0', 'url': 'https://api.github.com/licenses/gpl-2.0', 'node_id': 'MDc6TGljZW5zZTg='}"
36,"{'key': 'zlib', 'name': 'zlib License', 'spdx_id': 'Zlib', 'url': 'https://api.github.com/licenses/zlib', 'node_id': 'MDc6TGljZW5zZTI3'}"
21,"{'key': 'lgpl-3.0', 'name': 'GNU Lesser General Public License v3.0', 'spdx_id': 'LGPL-3.0', 'url': 'https://api.github.com/licenses/lgpl-3.0', 'node_id': 'MDc6TGljZW5zZTEy'}"
12,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}"
11,"{'key': 'cc-by-sa-4.0', 'name': 'Creative Commons Attribution Share Alike 4.0 International', 'spdx_id': 'CC-BY-SA-4.0', 'url': 'https://api.github.com/licenses/cc-by-sa-4.0', 'node_id': 'MDc6TGljZW5zZTI2'}"
35,"{'key': 'wtfpl', 'name': 'Do What The F*ck You Want To Public License', 'spdx_id': 'WTFPL', 'url': 'https://api.github.com/licenses/wtfpl', 'node_id': 'MDc6TGljZW5zZTE4'}"
10,"{'key': 'cc-by-4.0', 'name': 'Creative Commons Attribution 4.0 International', 'spdx_id': 'CC-BY-4.0', 'url': 'https://api.github.com/licenses/cc-by-4.0', 'node_id': 'MDc6TGljZW5zZTI1'}"
20,"{'key': 'lgpl-2.1', 'name': 'GNU Lesser General Public License v2.1', 'spdx_id': 'LGPL-2.1', 'url': 'https://api.github.com/licenses/lgpl-2.1', 'node_id': 'MDc6TGljZW5zZTEx'}"
24,"{'key': 'mit-0', 'name': 'MIT No Attribution', 'spdx_id': 'MIT-0', 'url': 'https://api.github.com/licenses/mit-0', 'node_id': 'MDc6TGljZW5zZTQx'}"
7,"{'key': 'bsd-3-clause-clear', 'name': 'BSD 3-Clause Clear License', 'spdx_id': 'BSD-3-Clause-Clear', 'url': 'https://api.github.com/licenses/bsd-3-clause-clear', 'node_id': 'MDc6TGljZW5zZTIx'}"
15,"{'key': 'epl-2.0', 'name': 'Eclipse Public License 2.0', 'spdx_id': 'EPL-2.0', 'url': 'https://api.github.com/licenses/epl-2.0', 'node_id': 'MDc6TGljZW5zZTMy'}"
29,"{'key': 'ofl-1.1', 'name': 'SIL Open Font License 1.1', 'spdx_id': 'OFL-1.1', 'url': 'https://api.github.com/licenses/ofl-1.1', 'node_id': 'MDc6TGljZW5zZTE3'}"
34,"{'key': 'upl-1.0', 'name': 'Universal Permissive License v1.0', 'spdx_id': 'UPL-1.0', 'url': 'https://api.github.com/licenses/upl-1.0', 'node_id': 'MDc6TGljZW5zZTMz'}"
14,"{'key': 'epl-1.0', 'name': 'Eclipse Public License 1.0', 'spdx_id': 'EPL-1.0', 'url': 'https://api.github.com/licenses/epl-1.0', 'node_id': 'MDc6TGljZW5zZTc='}"
32,"{'key': 'postgresql', 'name': 'PostgreSQL License', 'spdx_id': 'PostgreSQL', 'url': 'https://api.github.com/licenses/postgresql', 'node_id': 'MDc6TGljZW5zZTMx'}"
1,"{'key': '0bsd', 'name': 'BSD Zero Clause License', 'spdx_id': '0BSD', 'url': 'https://api.github.com/licenses/0bsd', 'node_id': 'MDc6TGljZW5zZTM1'}"
16,"{'key': 'eupl-1.2', 'name': 'European Union Public License 1.2', 'spdx_id': 'EUPL-1.2', 'url': 'https://api.github.com/licenses/eupl-1.2', 'node_id': 'MDc6TGljZW5zZTM0'}"
9,"{'key': 'bsl-1.0', 'name': 'Boost Software License 1.0', 'spdx_id': 'BSL-1.0', 'url': 'https://api.github.com/licenses/bsl-1.0', 'node_id': 'MDc6TGljZW5zZTI4'}"
22,"{'key': 'lppl-1.3c', 'name': 'LaTeX Project Public License v1.3c', 'spdx_id': 'LPPL-1.3c', 'url': 'https://api.github.com/licenses/lppl-1.3c', 'node_id': 'MDc6TGljZW5zZTIz'}"
13,"{'key': 'cern-ohl-p-2.0', 'name': 'CERN Open Hardware Licence Version 2 - Permissive', 'spdx_id': 'CERN-OHL-P-2.0', 'url': 'https://api.github.com/licenses/cern-ohl-p-2.0', 'node_id': 'L_kgCuY2Vybi1vaGwtcC0yLjA'}"
8,"{'key': 'bsd-4-clause', 'name': 'BSD 4-Clause ""Original"" or ""Old"" License', 'spdx_id': 'BSD-4-Clause', 'url': 'https://api.github.com/licenses/bsd-4-clause', 'node_id': 'MDc6TGljZW5zZTM5'}"
26,"{'key': 'ms-pl', 'name': 'Microsoft Public License', 'spdx_id': 'MS-PL', 'url': 'https://api.github.com/licenses/ms-pl', 'node_id': 'MDc6TGljZW5zZTE5'}"
4,"{'key': 'artistic-2.0', 'name': 'Artistic License 2.0', 'spdx_id': 'Artistic-2.0', 'url': 'https://api.github.com/licenses/artistic-2.0', 'node_id': 'MDc6TGljZW5zZTM='}"
27,"{'key': 'mulanpsl-2.0', 'name': 'Mulan Permissive Software License, Version 2', 'spdx_id': 'MulanPSL-2.0', 'url': 'https://api.github.com/licenses/mulanpsl-2.0', 'node_id': 'L_kgCsbXVsYW5wc2wtMi4w'}"
28,"{'key': 'ncsa', 'name': 'University of Illinois/NCSA Open Source License', 'spdx_id': 'NCSA', 'url': 'https://api.github.com/licenses/ncsa', 'node_id': 'MDc6TGljZW5zZTI5'}"
